protein_id	gene_names	OR-01	OR-04	OR-07	OR-09	OR-10	OR-13	OR-20	OR-23	OR-25	PD-02	PD-03	PD-04	PD-06	PD-07	PD-08	PD-09	PD-10	PD-11
Q9BYD3	MRPL4	3408100	NA	3128700	2983000	3605500	3316300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9BYD6	MRPL1	4494800	NA	2019600	2054800	3870000	NA	2507500	3386600	NA	3916100	4658600	3372300	NA	2277600	NA	3302600	4257600	4384500
Q9BYE4	SPRR2G	NA	NA	NA	2125900	NA	11126000	2218200	NA	NA	NA	NA	NA	NA	NA	NA	NA	5614300	1910900
Q9BYN8	MRPS26	2422600	2050600	NA	NA	NA	NA	3599000	NA	NA	2625000	NA	2374600	NA	NA	NA	NA	NA	NA
Q9BYT8	NLN	2207300	2572000	2873900	NA	2093000	5046100	9558900	3192300	NA	1619400	NA	3989500	5351900	NA	NA	NA	2653700	5790600
Q9BZ95	WHSC1L1	NA	3545100	3548400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3048200	NA	NA
Q9BZE1	MRPL37	NA	4472300	NA	3531000	4143200	NA	7911500	7061000	NA	2890300	NA	NA	3443800	NA	NA	NA	NA	NA
Q9BZE9	ASPSCR1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2063200	NA	NA	1537000	NA	NA	NA	2036600
Q9BZF1	OSBPL8	NA	3586000	3288900	3493500	3793700	NA	3501600	NA	NA	4192700	10550000	3327300	2674500	NA	NA	4980000	NA	NA
Q9BZG1	RAB34	2272300	1730600	2741500	3955400	NA	NA	NA	NA	NA	NA	2407900	NA	10120000	NA	NA	NA	8195700	4830600
Q9BZK7;O60907;Q9BQ87	TBL1XR1	NA	6087400	NA	NA	10680000	NA	8188000	NA	NA	6524800	5012000	4304000	8745100	7319300	NA	NA	NA	7977200
Q9BZQ8;REV__Q9UHV5	FAM129A	3705300	NA	5007500	3844900	NA	6734600	2191700	25262000	41523000	7203000	61344000	1859400	16835000	31966000	NA	1742900	NA	NA
Q9BZZ5	API5	25870000	31581000	30559000	26778000	22778000	31313000	43889000	32220000	13748000	38574000	41095000	24335000	27296000	19693000	14568000	27951000	13598000	17541000
Q9C002	NMES1	NA	NA	5710600	68777000	5544000	21304000	NA	3473800	32950000	NA	4854700	NA	NA	NA	NA	NA	NA	NA
Q9C005	DPY30	934190	NA	NA	2251000	3523500	NA	NA	3244100	NA	NA	2200700	NA	650230	NA	NA	NA	2208600	NA
Q9C0B1	FTO	1232000	NA	NA	1082700	572230	NA	2833800	2768200	NA	NA	NA	NA	NA	907590	NA	NA	1429700	NA
Q9C0C2	TNKS1BP1	26484000	24988000	16198000	18909000	6430600	10317000	17717000	46383000	61859000	22601000	24947000	37778000	27472000	58636000	27559000	24942000	6192900	85251000
Q9C0C9	UBE2O	NA	NA	NA	NA	NA	NA	5477900	NA	NA	NA	NA	NA	8239400	NA	NA	NA	11590000	NA
Q9C0D9	EPT1	NA	3579400	NA	NA	NA	NA	6317900	2846200	NA	NA	2686300	NA	NA	NA	NA	NA	NA	NA
Q9C0E8	LNP	2837700	4516000	4072900	6261800	NA	NA	3106800	2873700	4404200	3022600	4321500	6438500	3878100	3975700	NA	4585900	3615300	NA
Q9C0H9	SRCIN1	NA	1203000	NA	NA	NA	NA	781240	NA	NA	NA	NA	NA	4151200	NA	NA	NA	NA	NA
Q9GZS3	WDR61	NA	5675700	7326800	6108900	3662400	5543700	5154500	4759600	NA	6901300	5049100	7838600	5642000	6958100	NA	NA	5847200	5218700
